etrait.name	chr	start	stop
Bra000401	A03	10937090	10939037
Bra000402	A03	10939440	10940165
Bra000403	A03	10949063	10952071
Bra000404	A03	10951443	10952577
Bra000405	A03	10954961	10956746
Bra000406	A03	10957947	10959308
Bra000407	A03	10965388	10968092
Bra000408	A03	10972675	10973441
Bra000409	A03	10974211	10982403
Bra000410	A03	10982776	10983904
Bra000411	A03	10989032	10990016
Bra000412	A03	10990572	10992595
Bra000413	A03	10994580	10995879
Bra000414	A03	10996957	10998059
Bra000415	A03	11001164	11003082
Bra000416	A03	11003472	11005821
Bra000417	A03	11006109	11008508
Bra000418	A03	11009705	11011245
Bra000419	A03	11016626	11017356
Bra000420	A03	11020407	11025017
Bra000421	A03	11028053	11033094
Bra000422	A03	11034581	11035131
Bra000423	A03	11037237	11038263
Bra000424	A03	11046757	11049108
Bra000425	A03	11051095	11052112
Bra000426	A03	11053064	11053463
Bra000427	A03	11054769	11057126
Bra000428	A03	11057974	11060447
Bra000429	A03	11062395	11064846
Bra000430	A03	11067248	11067605
Bra000431	A03	11068087	11068608
Bra000432	A03	11086757	11089009
Bra000433	A03	11090407	11092796
Bra000434	A03	11101702	11103325
Bra000435	A03	11107202	11108057
Bra000436	A03	11113513	11118191
Bra000437	A03	11126320	11127586
Bra000438	A03	11128253	11130538
Bra000439	A03	11134591	11135478
Bra000440	A03	11137010	11139368
Bra000441	A03	11142113	11143315
Bra000442	A03	11144480	11148295
Bra000443	A03	11154546	11156385
Bra000444	A03	11159168	11160758
Bra000445	A03	11159104	11164017
Bra000446	A03	11169655	11171143
Bra000447	A03	11171330	11173856
Bra000448	A03	11176838	11180336
Bra000449	A03	11182342	11183263
Bra000450	A03	11183616	11184906
Bra000451	A03	11185166	11185547
Bra000452	A03	11185992	11187102
Bra000453	A03	11190989	11194396
Bra000454	A03	11195075	11197718
Bra000455	A03	11198675	11200098
Bra000456	A03	11200561	11205660
Bra000457	A03	11205684	11208351
Bra000458	A03	11209558	11210850
Bra000459	A03	11211962	11212681
Bra000460	A03	11213354	11214531
Bra000461	A03	11213354	11217565
Bra000462	A03	11221433	11222313
Bra000463	A03	11230136	11233256
Bra000464	A03	11233120	11235644
Bra000465	A03	11235949	11237167
Bra000466	A03	11237342	11240028
Bra000467	A03	11245526	11246393
Bra000468	A03	11248380	11249261
Bra000469	A03	11249471	11255770
Bra000470	A03	11262765	11263461
Bra000471	A03	11265795	11266692
Bra000472	A03	11267973	11268411
Bra000473	A03	11269298	11275894
Bra000474	A03	11278832	11279827
Bra000475	A03	11281015	11283679
Bra000476	A03	11284755	11290818
Bra000477	A03	11292361	11293889
Bra000478	A03	11293645	11304133
Bra000479	A03	11308777	11309632
Bra000480	A03	11313611	11316062
Bra000481	A03	11327800	11328277
Bra000482	A03	11333448	11333754
Bra000483	A03	11334601	11335396
Bra000484	A03	11337088	11338128
Bra000485	A03	11350238	11351906
Bra000486	A03	11352599	11354633
Bra000487	A03	11361532	11364213
Bra000488_Bra000489	A03	11364786	11368668
Bra000490	A03	11369257	11375367
Bra000491	A03	11383522	11385298
Bra000492	A03	11388270	11389906
Bra000493	A03	11392344	11397744
Bra000494	A03	11399244	11403181
Bra000495	A03	11407902	11409563
Bra000496	A03	11418709	11419388
Bra000497	A03	11424117	11424799
Bra000498	A03	11445458	11448422
Bra000499_Bra000500	A03	11450080	11458273
Bra000501	A03	11459506	11460640
Bra000502	A03	11461624	11462593
Bra000503	A03	11463956	11466874
Bra000504	A03	11467917	11468832
Bra000505	A03	11471963	11473181
Bra000506	A03	11476157	11477981
Bra000507	A03	11485720	11486791
Bra000508	A03	11499567	11501998
Bra000509	A03	11504116	11505321
Bra000510	A03	11505544	11506554
Bra000511	A03	11510683	11515281
Bra000512	A03	11516022	11516889
Bra000513	A03	11517818	11518460
Bra000514	A03	11520968	11523606
Bra000515	A03	11526676	11528089
Bra000516	A03	11529744	11531670
Bra000517	A03	11534808	11539339
Bra000518	A03	11540504	11542472
Bra000519	A03	11544412	11545099
Bra000520	A03	11549797	11552623
Bra000521	A03	11556836	11562338
Bra000522	A03	11565616	11572553
Bra000523	A03	11573302	11574357
Bra000524	A03	11574920	11576966
Bra000525	A03	11579744	11581058
Bra000526	A03	11583088	11584286
Bra000527	A03	11588237	11589549
Bra000528	A03	11592201	11594976
Bra000529	A03	11601124	11603484
Bra000530	A03	11604979	11605492
Bra000531	A03	11606609	11609037
Bra000532	A03	11609408	11610848
Bra000533	A03	11612601	11614406
Bra000534	A03	11617047	11619838
Bra000535	A03	11620094	11625507
Bra000536	A03	11625716	11627511
Bra000537	A03	11629697	11632994
Bra000538	A03	11643081	11647967
Bra000539	A03	11648857	11650768
Bra000540	A03	11664881	11667548
Bra000541	A03	11673512	11676046
Bra000542	A03	11678067	11679793
Bra000543	A03	11680885	11684096
Bra000544	A03	11690385	11691745
Bra000545	A03	11692010	11694491
Bra000546	A03	11697471	11699258
Bra000547	A03	11699966	11702532
Bra000548	A03	11704193	11706697
Bra000549	A03	11707391	11710789
Bra000550	A03	11711899	11716241
Bra000551	A03	11716430	11718936
Bra000552	A03	11720418	11736805
Bra000553	A03	11739369	11742305
Bra000554	A03	11743179	11746623
Bra000555	A03	11750945	11756204
Bra000556	A03	11759583	11760974
Bra000557	A03	11762319	11764194
Bra000558	A03	11768620	11771452
Bra000559	A03	11771507	11773042
Bra000560	A03	11774791	11777480
Bra000561	A03	11778993	11786248
Bra000562	A03	11788163	11788873
Bra000563	A03	11792604	11795852
Bra000564	A03	11797973	11803273
Bra000565	A03	11807347	11810510
Bra000566	A03	11811660	11812873
Bra000567	A03	11814778	11815979
Bra000568	A03	11816685	11825796
Bra000569	A03	11829567	11831156
Bra000570	A03	11831508	11834139
Bra000571	A03	11835270	11836831
Bra000572	A03	11838166	11840114
Bra000573	A03	11841653	11843853
Bra000574	A03	11845232	11846154
Bra000575	A03	11849962	11852638
Bra000576	A03	11854322	11862709
Bra000577	A03	11866090	11868451
Bra000578	A03	11871392	11876296
Bra000579	A03	11879352	11880942
Bra000580	A03	11885838	11886644
Bra000581	A03	11888034	11890593
Bra000582	A03	11893715	11895702
Bra000583	A03	11896915	11900515
Bra000584	A03	11901685	11904390
Bra000585	A03	11910626	11912577
Bra000586	A03	11912439	11915611
Bra000587	A03	11917078	11919418
Bra000588	A03	11921403	11924588
Bra000589	A03	11928653	11929952
Bra000590	A03	11931377	11931971
Bra000591	A03	11933058	11935727
Bra000592	A03	11936121	11948470
Bra000593	A03	11953154	11954849
Bra000594	A03	11956758	11959936
Bra000595	A03	11973160	11975808
Bra000596	A03	11976483	11980081
Bra000597	A03	11980753	11981974
Bra000598	A03	11980643	11987134
Bra000599	A03	11992160	11993476
Bra000600	A03	11994065	11998837
Bra000601	A03	12000663	12001878
Bra000602	A03	12002664	12004973
Bra000603	A03	12007128	12010422
Bra000604	A03	12011061	12013664
Bra000605	A03	12016193	12018909
Bra000606	A03	12021329	12023916
Bra000607	A03	12024568	12025759
Bra000608	A03	12029697	12030015
Bra000609	A03	12031722	12033264
Bra000610	A03	12033983	12035922
Bra000611	A03	12037690	12039188
Bra000612	A03	12048707	12051460
Bra000613	A03	12056624	12057997
Bra000614	A03	12064902	12066381
Bra000615	A03	12069114	12071179
Bra000616	A03	12075201	12079263
Bra000617	A03	12077709	12085081
Bra000618	A03	12088616	12092037
Bra000619	A03	12093139	12096671
Bra000620	A03	12098129	12102459
Bra000621	A03	12106353	12109440
Bra000622	A03	12113187	12115652
Bra000623	A03	12115899	12117269
Bra000624	A03	12120241	12120813
Bra000625	A03	12123608	12125743
Bra000626	A03	12126860	12128769
Bra000627	A03	12130092	12131123
Bra000628	A03	12134425	12136134
Bra000629	A03	12139932	12140421
Bra000630	A03	12139726	12142361
Bra000631	A03	12143600	12144534
Bra000632	A03	12145997	12147832
Bra000633	A03	12148581	12149843
Bra000634	A03	12154518	12158397
Bra000635	A03	12159544	12162835
Bra000636	A03	12165944	12167953
Bra000637	A03	12181269	12183333
Bra000638	A03	12186093	12190521
Bra000639	A03	12207602	12211653
Bra000640	A03	12219110	12221726
Bra000641	A03	12223401	12228907
Bra000642	A03	12229796	12231236
Bra000643	A03	12231816	12233182
Bra000644	A03	12233186	12235542
Bra000645	A03	12237511	12239061
Bra000646	A03	12250608	12251794
Bra000647	A03	12252854	12256180
Bra000648	A03	12276612	12277707
Bra000649	A03	12283200	12285019
Bra000650	A03	12291071	12293505
Bra000651	A03	12304585	12305110
Bra000652	A03	12309737	12311404
Bra000653	A03	12315561	12317059
Bra000654	A03	12318224	12319089
Bra000655	A03	12318726	12321302
Bra000656	A03	12322214	12324569
Bra000657	A03	12326356	12330416
Bra000658	A03	12332806	12334110
Bra000659	A03	12336314	12338104
Bra000660	A03	12343709	12344964
Bra000661	A03	12346815	12348886
Bra000662	A03	12351291	12353116
Bra000663	A03	12353708	12355927
Bra000664	A03	12356241	12358730
Bra000665	A03	12359123	12361564
Bra000666	A03	12361989	12362839
Bra000667	A03	12368809	12373471
Bra000668	A03	12373595	12375403
Bra000669	A03	12378087	12380124
Bra000670	A03	12380323	12381123
Bra000671	A03	12384411	12385170
Bra000672	A03	12385225	12387037
Bra000673	A03	12392384	12393404
Bra000674	A03	12392236	12397373
Bra000675	A03	12400344	12403094
Bra000676	A03	12404349	12405179
Bra000677	A03	12405230	12406753
Bra000678	A03	12407778	12408957
Bra000679	A03	12409302	12411861
Bra000680	A03	12417588	12418720
Bra000681	A03	12425356	12428398
Bra000682	A03	12431733	12432093
Bra000683	A03	12442169	12443902
Bra000684	A03	12448146	12451064
Bra000685	A03	12457033	12458563
Bra000686	A03	12461190	12464085
Bra000687	A03	12470322	12471518
Bra000688	A03	12476292	12478125
Bra000689	A03	12480348	12482349
Bra000690	A03	12482937	12486116
Bra000691	A03	12488405	12491106
Bra000692	A03	12498577	12500044
Bra000693	A03	12500041	12501906
Bra000694	A03	12503569	12505117
Bra000695	A03	12514724	12515135
Bra000696	A03	12525403	12529349
Bra000697	A03	12533122	12535363
Bra000698	A03	12534701	12538084
Bra000699	A03	12540719	12541830
Bra000700	A03	12542439	12545283
Bra000701	A03	12545489	12546838
Bra000702	A03	12549020	12551761
Bra000703	A03	12552375	12553344
Bra000704	A03	12553512	12555236
Bra000705	A03	12555689	12556499
Bra000706	A03	12562078	12562565
Bra000707	A03	12568527	12571301
Bra000708	A03	12573692	12575286
Bra000709	A03	12575344	12576896
Bra000710	A03	12582383	12590338
Bra000711	A03	12597030	12598344
Bra000712	A03	12601826	12603447
Bra000713	A03	12622306	12627520
Bra000714	A03	12628427	12633122
Bra000715	A03	12636425	12639075
Bra000716	A03	12640104	12641342
Bra000717	A03	12646633	12649037
Bra000718	A03	12655416	12658954
Bra000719	A03	12659066	12663578
Bra000720	A03	12664777	12666523
Bra000721	A03	12669705	12672354
Bra000722	A03	12673733	12674467
Bra000723	A03	12675480	12676184
Bra000724	A03	12677230	12680609
Bra000725	A03	12682538	12684212
Bra000726	A03	12685135	12685363
Bra000727	A03	12688822	12691842
Bra000728	A03	12694233	12695091
Bra000729	A03	12695565	12701426
Bra000730	A03	12702728	12704750
Bra000731	A03	12710764	12713486
Bra000732	A03	12714636	12716534
Bra000733	A03	12732677	12737813
Bra000734	A03	12738802	12743945
Bra000735	A03	12745997	12747976
Bra000736	A03	12751718	12753148
Bra000737	A03	12763463	12771165
Bra000738	A03	12771425	12782011
Bra000739	A03	12794629	12796666
Bra000740	A03	12797864	12800078
Bra000741	A03	12799990	12802292
Bra000742	A03	12805667	12809545
Bra000743	A03	12811475	12816068
Bra000744	A03	12817419	12820034
Bra000745	A03	12825670	12827989
Bra000746	A03	12829062	12832176
Bra000747	A03	12834684	12838171
Bra000748	A03	12850583	12852127
Bra000749	A03	12856277	12858235
Bra000750	A03	12859132	12860831
Bra000751	A03	12862777	12863824
Bra000752	A03	12873640	12883707
Bra000753	A03	12891501	12894910
Bra000754	A03	12897299	12899193
Bra000755	A03	12900597	12902399
Bra000756	A03	12904810	12907558
Bra000757	A03	12909229	12912328
Bra000758	A03	12912843	12917586
Bra000759	A03	12918051	12922106
Bra000760	A03	12923392	12927044
Bra000761	A03	12928266	12932765
Bra000762	A03	12933350	12935543
Bra000763	A03	12937398	12938581
Bra000764	A03	12940382	12941051
Bra000765	A03	12942822	12943029
Bra000766	A03	12944738	12947183
Bra000767	A03	12947590	12949382
Bra000768	A03	12949890	12951850
Bra000769	A03	12952704	12955073
Bra000770	A03	12964255	12965233
Bra000772	A03	12967639	12968310
Bra000773	A03	12977332	12980613
Bra000774	A03	12992449	12996954
Bra000775	A03	13012764	13014918
Bra000776	A03	13020178	13022295
Bra000777	A03	13024721	13025338
Bra000778	A03	13034112	13034985
Bra000779	A03	13060344	13063616
Bra000780	A03	13071798	13073160
Bra000781	A03	13079428	13080752
Bra000782	A03	13081459	13084944
Bra000783	A03	13091840	13093977
Bra000784	A03	13094800	13095720
Bra000785	A03	13097800	13099347
Bra000786	A03	13099593	13100157
Bra000787	A03	13106584	13108688
Bra000788	A03	13109442	13118735
Bra000789	A03	13131830	13136650
Bra000790	A03	13136699	13137334
Bra000791	A03	13141002	13146170
Bra000792	A03	13145853	13146552
Bra000793	A03	13151322	13154365
Bra000794	A03	13157095	13160805
Bra000795	A03	13161581	13162775
Bra000796	A03	13165953	13169434
Bra000797	A03	13173554	13176368
Bra000798	A03	13201127	13203556
Bra000799	A03	13215948	13219175
Bra000800	A03	13224054	13226765
Bra000801	A03	13227771	13228351
Bra000802	A03	13230045	13231576
Bra000803	A03	13233857	13238549
Bra000804	A03	13240834	13242304
Bra000805	A03	13252974	13256969
Bra000806	A03	13264382	13265698
Bra000807	A03	13269870	13274193
Bra000808	A03	13278927	13284493
Bra000809	A03	13284858	13290237
Bra000810	A03	13290516	13292706
Bra000811	A03	13297364	13298508
Bra000812	A03	13299595	13300659
Bra000813	A03	13302834	13303520
Bra000814	A03	13311934	13314725
Bra000815	A03	13322730	13323766
Bra000816	A03	13325773	13326861
Bra000817	A03	13328047	13329253
Bra000818	A03	13329625	13331954
Bra000819	A03	13334919	13336040
Bra000820	A03	13339587	13344919
Bra000821	A03	13347067	13347857
Bra000822	A03	13351341	13354997
Bra000823	A03	13361748	13363254
Bra000824	A03	13365156	13367333
Bra000825	A03	13371723	13373362
Bra000826	A03	13378192	13380013
Bra000827	A03	13381712	13386106
Bra000828	A03	13387200	13387976
Bra000829	A03	13388150	13389212
Bra000830	A03	13391000	13391861
Bra000831	A03	13395223	13396834
Bra000832	A03	13398609	13400541
Bra000833	A03	13401340	13401547
Bra000834	A03	13405329	13406648
Bra000835	A03	13411398	13413895
Bra000836	A03	13419380	13420007
Bra000837	A03	13421092	13422497
Bra000838	A03	13424509	13428705
Bra000839	A03	13429342	13430655
Bra000840	A03	13436149	13437937
Bra000841	A03	13441280	13442735
Bra000842	A03	13443438	13446344
Bra000843	A03	13447942	13450270
Bra000844	A03	13455127	13457692
Bra000845	A03	13460052	13462794
Bra000846	A03	13467091	13472513
Bra000847	A03	13473121	13475036
Bra000848	A03	13479214	13483768
Bra000849	A03	13490759	13493779
