Bra000001	DNAse I-like superfamily protein
Bra000089	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Bra000090	annexin 4
Bra000091	annexin 3
Bra000092	No annotation found
Bra000093	No annotation found
Bra000094	No annotation found
Bra000095	No annotation found
Bra000096	Plant calmodulin-binding protein-related
Bra000097	histone H2A 8
Bra000098	Protein of unknown function (DUF506) 
Bra000099	No annotation found
Bra000100	Guanylate-binding family protein
Bra000101	Serine protease inhibitor, potato inhibitor I-type family protein
Bra000102	basic leucine zipper 25
Bra000103	No annotation found
Bra000104	Low temperature and salt responsive protein family
Bra000105	calcium-dependent protein kinase 20
Bra000106	SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-related
Bra000107	phosphate transporter 1;4
Bra000108	Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
Bra000109	O-acyltransferase (WSD1-like) family protein
Bra000110	O-acyltransferase (WSD1-like) family protein
Bra000111	plasma membrane intrinsic protein 2E
Bra000112	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Bra000113	Peroxidase superfamily protein
Bra000114	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra000115	hydroxyproline-rich glycoprotein family protein
Bra000116	Nodulin MtN3 family protein
Bra000117	NAD(P)-binding Rossmann-fold superfamily protein
Bra000118	No annotation found
Bra000119	CRINKLY4 related 2
Bra000120	Protein kinase superfamily protein
Bra000121	Seven transmembrane MLO family protein
Bra000122	Seven transmembrane MLO family protein
Bra000123	No annotation found
Bra000124	Major facilitator superfamily protein
Bra000125	PATATIN-like protein 6
Bra000126	binding;RNA binding
Bra000127	phosphatidylglycerolphosphate synthase 1
Bra000128	No annotation found
Bra000129	jacalin-related lectin 22
Bra000130	Protein kinase superfamily protein
Bra000131	Ribosomal L29 family protein 
Bra000132	alpha/beta-Hydrolases superfamily protein
Bra000133	Disease resistance-responsive (dirigent-like protein) family protein
Bra000134	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related
Bra000135	ribosomal protein L23AA
Bra000136	P-glycoprotein 6
Bra000137	kunitz trypsin inhibitor 1
Bra000138	Pentatricopeptide repeat (PPR) superfamily protein
Bra000139	Nucleotide-diphospho-sugar transferases superfamily protein
Bra000140	Protein of unknown function (DUF506) 
Bra000141	botrytis-induced kinase1
Bra000142	expansin A4
Bra000143	RING-H2 finger C2A
Bra000144	rubisco activase
Bra000145	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra000146	No annotation found
Bra000147	BTB/POZ/MATH-domains containing protein
Bra000148	AP2/B3-like transcriptional factor family protein
Bra000149	Glucose-1-phosphate adenylyltransferase family protein
Bra000150	delta1-pyrroline-5-carboxylate synthase 1
Bra000151	Integral membrane Yip1 family protein
Bra000152	DA1-related protein 2
Bra000153	type one serine/threonine protein phosphatase 4
Bra000154	proline transporter 1
Bra000155	ARM repeat superfamily protein
Bra000156	RNI-like superfamily protein
Bra000157	eukaryotic translation initiation factor 2
Bra000158	ortholog of sugar beet HS1 PRO-1 2
Bra000159	Ribosomal protein L10 family protein
Bra000160	Transmembrane amino acid transporter family protein
Bra000161	Nucleolar histone methyltransferase-related protein
Bra000162	nuclear RNA polymerase D1B
Bra000163	Clathrin light chain protein
Bra000164	No annotation found
Bra000165	Protein of unknown function (DUF1313)
Bra000166	ABC2 homolog 9
Bra000167	Alpha/beta hydrolase related protein
Bra000168	Phosphoinositide-specific phospholipase C family protein
Bra000169	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein
Bra000170	zinc finger (CCCH-type) family protein
Bra000171	TRICHOME BIREFRINGENCE-LIKE 28
Bra000172	Plant protein of unknown function (DUF828)
Bra000173	Stress induced protein
Bra000174	phosphatase 2C5
Bra000175	RNI-like superfamily protein
Bra000176	No annotation found
Bra000177	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra000178	Integrase-type DNA-binding superfamily protein
Bra000179	HXXXD-type acyl-transferase family protein
Bra000180	Homeodomain-like superfamily protein
Bra000181	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra000182	Eukaryotic translation initiation factor 2 subunit 1
Bra000183	Pectin lyase-like superfamily protein
Bra000184	PYR1-like 6
Bra000185	BTB/POZ domain-containing protein
Bra000186	BTB/POZ domain-containing protein
Bra000187	Major facilitator superfamily protein
Bra000188	LOB domain-containing protein 15
Bra000189	No annotation found
Bra000190	Plant protein of unknown function (DUF827)
Bra000191	No annotation found
Bra000192	NTM1-like 8
Bra000193	Ribosomal protein S26e family protein
Bra000194	expansin A8
Bra000195	Basic-leucine zipper (bZIP) transcription factor family protein
Bra000196	Uncharacterised conserved protein (UCP030365)
Bra000197	RING/U-box superfamily protein
Bra000198	PRP38 family protein
Bra000199	response regulator 16
Bra000200	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra000201	Protein kinase family protein with ARM repeat domain
Bra000202	WRKY DNA-binding protein 55
Bra000203	WRKY DNA-binding protein 54
Bra000204	No annotation found
Bra000205	Calcium-dependent lipid-binding (CaLB domain) family protein
Bra000206	Calcium-dependent lipid-binding (CaLB domain) family protein
Bra000207	RING-H2 finger C1A
Bra000208	phosphoinositide 4-kinase gamma 1
Bra000209	protein kinase family protein / protein phosphatase 2C ( PP2C) family protein
Bra000210	cystatin A
Bra000211	cytochrome P450, family 98, subfamily A, polypeptide 3
Bra000212	nodulin MtN21 /EamA-like transporter family protein
Bra000213	Protein kinase superfamily protein
Bra000214	calmodulin 5
Bra000215	CDPK-related kinase 1
Bra000216	VQ motif-containing protein
Bra000217	Transmembrane amino acid transporter family protein
Bra000218	No annotation found
Bra000219	phosphatidylinositol- 4-phosphate 5-kinase 5
Bra000220	glutamate synthase 2
Bra000221	No annotation found
Bra000222	strictosidine synthase-like 2
Bra000223	strictosidine synthase-like 1
Bra000224	response regulator 3
Bra000225	Glutaredoxin family protein
Bra000226	No annotation found
Bra000227	dehydration-induced protein (ERD15)
Bra000228	Peroxidase superfamily protein
Bra000229	cytokinin oxidase/dehydrogenase 1
Bra000230	S-formylglutathione hydrolase
Bra000231	6-phosphogluconate dehydrogenase family protein
Bra000232	transcription factor IIB
Bra000233	Protein of unknown function, DUF617
Bra000234	NADPH-dependent thioredoxin reductase C
Bra000235	heat shock transcription factor B3
Bra000236	ATP-binding cassette A1
Bra000237	Integrase-type DNA-binding superfamily protein
Bra000238	villin 2
Bra000239	No annotation found
Bra000240	Protein of unknown function (DUF288)
Bra000241	No annotation found
Bra000242	Ribosomal protein S5 family protein
Bra000243	CCCH-type zinc finger protein with ARM repeat domain
Bra000244	No annotation found
Bra000245	zinc finger protein 8
Bra000246	No annotation found
Bra000247	No annotation found
Bra000248	Protein kinase superfamily protein
Bra000249	Protein with RING/U-box and TRAF-like domains
Bra000250	RING/U-box superfamily protein
Bra000251	No annotation found
Bra000252	Cysteine/Histidine-rich C1 domain family protein
Bra000253	nudix hydrolase homolog 23
Bra000254	TCP-1/cpn60 chaperonin family protein
Bra000255	No annotation found
Bra000256	Basic-leucine zipper (bZIP) transcription factor family protein
Bra000257	lateral organ boundaries-domain 16
Bra000258	TRAF-like family protein
Bra000259	TRAF-like family protein
Bra000260	Copper amine oxidase family protein
Bra000261	S-locus lectin protein kinase family protein
Bra000262	protein phosphatase 2A-3
Bra000263_Bra000265	cold regulated 15b
Bra000264	No annotation found
Bra000266	late embryogenesis abundant domain-containing protein / LEA domain-containing protein
Bra000267	tetratricopetide-repeat thioredoxin-like 3
Bra000268	general regulatory factor 9
Bra000269	Protein of unknown function (DUF640)
Bra000270	Homeodomain-like superfamily protein
Bra000271	Protein of unknown function (DUF1637)
Bra000272	multiprotein bridging factor 1A
Bra000273	No annotation found
Bra000274	No annotation found
Bra000275	No annotation found
Bra000276	phy rapidly regulated 1
Bra000277	MAP kinase 20
Bra000278	Protein of Unknown Function (DUF239)
Bra000279	MEI2-like 2
Bra000280	Phosphoribosyltransferase family protein
Bra000281	Predicted AT-hook DNA-binding family protein
Bra000282	NAC domain containing protein 42
Bra000283	phytochrome interacting factor 4
Bra000284	polyamine oxidase 2
Bra000285	Ribosomal protein L3 family protein
Bra000286	tetratricopeptide repeat (TPR)-containing protein
Bra000287	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra000288	Aconitase/3-isopropylmalate dehydratase protein
Bra000289	RmlC-like cupins superfamily protein
Bra000290	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra000291	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra000292	Proline-rich extensin-like family protein
Bra000293	ENTH/VHS family protein
Bra000294	Phosphoenolpyruvate carboxylase family protein
Bra000295	Protein kinase superfamily protein
Bra000296	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra000297	No annotation found
Bra000298	Nucleotide-sugar transporter family protein
Bra000299	Calcium-binding EF-hand family protein
Bra000300	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra000301	Protein of unknown function (DUF1685)
Bra000302	glutathione peroxidase 3
Bra000303	Radical SAM superfamily protein
Bra000304	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra000305	glyoxalase 2-1
Bra000306	Protein of unknown function (DUF3755)
Bra000307	Plant regulator RWP-RK family protein
Bra000308	Plant regulator RWP-RK family protein
Bra000309	trypsin inhibitor protein 2
Bra000310	chitinase, putative
Bra000311	Chitinase family protein
Bra000312	Chitinase family protein
Bra000313	Chitinase family protein
Bra000314	Chitinase family protein
Bra000315	Chitinase family protein
Bra000316	Signal recognition particle, SRP9/SRP14 subunit
Bra000317	Sas10/U3 ribonucleoprotein (Utp) family protein
Bra000318	IQ-domain 14
Bra000319	Concanavalin A-like lectin protein kinase family protein
Bra000320	Concanavalin A-like lectin protein kinase family protein
Bra000321	Plant stearoyl-acyl-carrier-protein desaturase family protein
Bra000322	Mannose-binding lectin superfamily protein
Bra000323	Mannose-binding lectin superfamily protein
Bra000324	Mannose-binding lectin superfamily protein
Bra000325	No annotation found
Bra000326	MAP kinase 6
Bra000327	Pectin lyase-like superfamily protein
Bra000328	Actin-binding FH2 (formin homology 2) family protein
Bra000329	UDP-glucosyltransferase 74F2
Bra000330	UDP-glucosyltransferase 74F2
Bra000331	Pectin lyase-like superfamily protein
Bra000332	Pectin lyase-like superfamily protein
Bra000333	Endonuclease/exonuclease/phosphatase family protein
Bra000334	No annotation found
Bra000335	chloroplast outer envelope protein 37
Bra000336	arogenate dehydrogenase
Bra000337	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra000338	Dihydrodipicolinate reductase, bacterial/plant
Bra000339	Late embryogenesis abundant protein, group 2
Bra000340	ARGOS-like
Bra000341	Ribosomal protein L30/L7 family protein
Bra000342	Galactose oxidase/kelch repeat superfamily protein
Bra000343	histone-lysine N-methyltransferase ASHH3
Bra000344	methionine aminopeptidase 2A
Bra000345	Family of unknown function (DUF566) 
Bra000346	CBF1-interacting co-repressor CIR, N-terminal;Pre-mRNA splicing factor
Bra000347	Protein of Unknown Function (DUF239)
Bra000348	Plant protein of unknown function (DUF946)
Bra000349	Calcium-binding EF-hand family protein
Bra000350	RING/U-box superfamily protein
Bra000351	Citrate synthase family protein
Bra000352	Cysteine/Histidine-rich C1 domain family protein
Bra000353	Emsy N Terminus (ENT) domain-containing protein
Bra000354	glycosyl hydrolase 9B12
Bra000355	Ras-related small GTP-binding family protein
Bra000356	mitochondrial acyl carrier protein 1
Bra000357	No annotation found
Bra000358	Protein of unknown function (DUF581)
Bra000359	casein kinase II  beta subunit 4
Bra000360	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
Bra000361	cyclin p4;1
Bra000362	WRKY family transcription factor
Bra000363	ELMO/CED-12 family protein
Bra000364	uclacyanin 2
Bra000365	Protein of unknown function (DUF630 and DUF632)
Bra000366	Integrase-type DNA-binding superfamily protein
Bra000367	Uncharacterised conserved protein UCP022280
Bra000368	Preprotein translocase Sec, Sec61-beta subunit protein
Bra000369	cyclin p3;1
Bra000370	expansin B4
Bra000371	Transducin/WD40 repeat-like superfamily protein
Bra000372	C2H2-like zinc finger protein
Bra000373	SPX domain gene 3
Bra000374	cytidinediphosphate diacylglycerol synthase 4
Bra000375	GRAS family transcription factor
Bra000376	AUTOPHAGY 8E
Bra000377	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra000378	Plant-specific transcription factor YABBY family protein
Bra000379	golgi snare 12
Bra000380	SAUR-like auxin-responsive protein family 
Bra000381	No annotation found
Bra000382	Plant invertase/pectin methylesterase inhibitor superfamily
Bra000383	Plant protein of unknown function (DUF641)
Bra000384	RNA 3\'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta
Bra000385	UDP-D-glucuronate 4-epimerase 4
Bra000386	No annotation found
Bra000387	transferases, transferring acyl groups
Bra000388	glutamine-rich protein 23
Bra000389	protein binding
Bra000390	cytochrome P450, family 704, subfamily A, polypeptide 2
Bra000391	cytochrome P450, family 704, subfamily A, polypeptide 2
Bra000392	AGAMOUS-like 6
Bra000393	AGAMOUS-like 20
Bra000394	calcineurin B subunit-related
Bra000395	TCP family transcription factor 
Bra000396	shrunken seed protein (SSE1)
Bra000397	Ubiquitin related modifier 1
Bra000398	ribosomal protein S27
Bra000399	ARM repeat superfamily protein
Bra000400	eukaryotic initiation factor 3 gamma subunit family protein
Bra000401	peroxin 11D
Bra000402	BON association protein 2
Bra000403	phosphomannomutase
Bra000404	GATA type zinc finger transcription factor family protein
Bra000405	Protein of unknown function (DUF295)
Bra000406	No annotation found
Bra000407	SKP1-like 20
Bra000408	No annotation found
Bra000409	transcription regulatory protein SNF2, putative
Bra000410	ubiquitin-conjugating enzyme 6
Bra000411	mitogen-activated protein kinase 12
Bra000412	plant U-box 54
Bra000413	decoy
Bra000414	Late embryogenesis abundant protein
Bra000415	Uncharacterized conserved protein (DUF2358)
Bra000416	ABI-1-like 1
Bra000417	BTB/POZ/Kelch-associated protein
Bra000418	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra000419	arabinogalactan protein 16
Bra000420	SPA (suppressor of phyA-105) protein family
Bra000421	Auxin-responsive GH3 family protein
Bra000422	No annotation found
Bra000423	WRKY DNA-binding protein 46
Bra000424	inner membrane protein OXA1-like
Bra000425	Protein with RING/U-box and TRAF-like domains
Bra000426	No annotation found
Bra000427	phosphoinositide 4-kinase gamma 4
Bra000428	succinate dehydrogenase subunit 4
Bra000429	Dof-type zinc finger DNA-binding family protein
Bra000430	Calcium-binding EF-hand family protein
Bra000431	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra000432	metal tolerance protein A2
Bra000433	Protein kinase superfamily protein
Bra000434	AP2/B3-like transcriptional factor family protein
Bra000435	No annotation found
Bra000436	phytochrome interacting factor 3-like 1
Bra000437	No annotation found
Bra000438	Plant invertase/pectin methylesterase inhibitor superfamily
Bra000439	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra000440	No annotation found
Bra000441	NAD(P)-binding Rossmann-fold superfamily protein
Bra000442	HCO3- transporter family
Bra000443	ADP-ribosylation factor A1E
Bra000444	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra000445	RNA helicase family protein
Bra000446	flowering time control protein-related / FCA gamma-related
Bra000447	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra000448	HIT zinc finger ;PAPA-1-like conserved region
Bra000449	No annotation found
Bra000450	Cytochrome c oxidase subunit Vc family protein
Bra000451	CP12 domain-containing protein 1
Bra000452	Ribosomal RNA adenine dimethylase family protein
Bra000453	myb domain protein 12
Bra000454	thioredoxin family protein
Bra000455	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
Bra000456	SWITCH/sucrose nonfermenting 3A
Bra000457	UDP-xylose synthase 4
Bra000458	Adenine nucleotide alpha hydrolases-like superfamily protein
Bra000459	No annotation found
Bra000460	glutathione S-transferase phi 8
Bra000461	beta glucosidase 2
Bra000462	nuclear factor Y, subunit B5
Bra000463	No annotation found
Bra000464	Cation efflux family protein
Bra000465	Mitochondrial transcription termination factor family protein
Bra000466	Zinc finger C-x8-C-x5-C-x3-H type family protein
Bra000467	No annotation found
Bra000468	ELF4-like 1
Bra000469	pleiotropic drug resistance 3
Bra000470	F-box/RNI-like superfamily protein
Bra000471	UDP-glucosyl transferase 71D1
Bra000472	pleckstrin homologue 1
Bra000473	anthranilate synthase 2
Bra000474	glutathione S-transferase tau  5
Bra000475	type one protein phosphatase 1
Bra000476	NAD-dependent epimerase/dehydratase family protein
Bra000477	NAD(P)-binding Rossmann-fold superfamily protein
Bra000478	protein kinase 1B
Bra000479	No annotation found
Bra000480	XB3 ortholog 1 in Arabidopsis thaliana
Bra000481	Histone superfamily protein
Bra000482	No annotation found
Bra000483	Histone superfamily protein
Bra000484	Homeodomain-like superfamily protein
Bra000485	Photosystem II reaction center PsbP family protein
Bra000486	Protein kinase superfamily protein
Bra000487	related to AP2.7
Bra000488_Bra000489	Protein of unknown function (DUF295)
Bra000490	vacuolar proton ATPase A1
Bra000491	LOB domain-containing protein 11
Bra000492	RNA-binding CRS1 / YhbY (CRM) domain protein
Bra000493	beta-galactosidase 8
Bra000494	SAND family protein
Bra000495	FER-like regulator of iron uptake
Bra000496	No annotation found
Bra000497	SAUR-like auxin-responsive protein family 
Bra000498	chaperonin-60alpha
Bra000499_Bra000500	No annotation found
Bra000501	60S acidic ribosomal protein family
Bra000502	copper ion binding;electron carriers
Bra000503	AAA-type ATPase family protein
Bra000504	RING/U-box protein with C6HC-type zinc finger
Bra000505	A20/AN1-like zinc finger family protein
Bra000506	centroradialis
Bra000507	ferredoxin 3
Bra000508	Glycosyl hydrolase superfamily protein
Bra000509	dephospho-CoA kinase family
Bra000510	Calcium-binding EF-hand family protein
Bra000511	ARM repeat superfamily protein
Bra000512	No annotation found
Bra000513	No annotation found
Bra000514	F-box family protein
Bra000515	Uncharacterised protein family (UPF0497)
Bra000516	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra000517	F-box family protein
Bra000518	ARM repeat superfamily protein
Bra000519	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra000520	DNA polymerase epsilon subunit B2
Bra000521	No annotation found
Bra000522	Structural maintenance of chromosomes (SMC) family protein
Bra000523	HSP20-like chaperones superfamily protein
Bra000524	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra000525	FAR1-related sequence 3
Bra000526	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Bra000527	early nodulin-like protein 20
Bra000528	ETHYLENE-INSENSITIVE3-like 1
Bra000529	proteasome family protein
Bra000530	Undecaprenyl pyrophosphate synthetase family protein
Bra000531	myb domain protein 81
Bra000532	No annotation found
Bra000533	Putative methyltransferase family protein
Bra000534	Aldolase superfamily protein
Bra000535	Transducin family protein / WD-40 repeat family protein
Bra000536	Glycosyl hydrolase superfamily protein
Bra000537	regulatory particle non-ATPase 13
Bra000538	plant-specific transcription factor YABBY family protein
Bra000539	SPX domain gene 2
Bra000540	Plant invertase/pectin methylesterase inhibitor superfamily
Bra000541	Plant invertase/pectin methylesterase inhibitor superfamily
Bra000542	UDP-glucosyl transferase 76D1
Bra000543	Xanthine/uracil permease family protein
Bra000544	Protein of unknown function (DUF1645)
Bra000545	DNA binding;DNA binding;sequence-specific DNA binding transcription factors
Bra000546	Protein of unknown function (DUF295)
Bra000547	translocon at the inner envelope membrane of chloroplasts 55-II
Bra000548	tyrosine aminotransferase 3
Bra000549	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein
Bra000550	transducin family protein / WD-40 repeat family protein
Bra000551	Protein of unknown function (DUF581)
Bra000552	No annotation found
Bra000553	Sulfite exporter TauE/SafE family protein
Bra000554	ATP-dependent protease La (LON) domain protein
Bra000555	Leucine-rich receptor-like protein kinase family protein
Bra000556	Eukaryotic aspartyl protease family protein
Bra000557	heat shock transcription factor A2
Bra000558	cytochrome P450, family 711, subfamily A, polypeptide 1
Bra000559	Chalcone and stilbene synthase family protein
Bra000560	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra000561	Nucleotidyltransferase family protein
Bra000562	Plant invertase/pectin methylesterase inhibitor superfamily protein
Bra000563	Transcriptional factor B3 family protein
Bra000564	DNA binding;DNA binding;sequence-specific DNA binding transcription factors
Bra000565	mechanosensitive channel of small conductance-like 9
Bra000566	FASCICLIN-like arabinogalactan protein 3 precursor
Bra000567	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
Bra000568	terpene synthase 10
Bra000569	Microtubule associated protein (MAP65/ASE1) family protein
Bra000570	heptahelical protein 3
Bra000571	tetraspanin8
Bra000572	cytochrome P450, family 81, subfamily D, polypeptide 7
Bra000573	natural resistance-associated macrophage protein 3
Bra000574	Uncharacterised protein family SERF
Bra000575	growth-regulating factor 1
Bra000576	serine carboxypeptidase-like 9
Bra000577	zinc knuckle (CCHC-type) family protein
Bra000578	phospholipase A 2A
Bra000579	Homeodomain-like superfamily protein
Bra000580	No annotation found
Bra000581	Bifunctional dihydrofolate reductase/thymidylate synthase
Bra000582	DNAJ heat shock N-terminal domain-containing protein
Bra000583	MATE efflux family protein
Bra000584	like AUXIN RESISTANT 2
Bra000585	minichromosome maintenance 10
Bra000586	Arabidopsis phospholipase-like protein (PEARLI 4) family
Bra000587	Arabidopsis phospholipase-like protein (PEARLI 4) family
Bra000588	Protein of unknown function (DUF3353)
Bra000589	No annotation found
Bra000590	Plant EC metallothionein-like protein, family 15
Bra000591	Transmembrane amino acid transporter family protein
Bra000592	Leucine-rich repeat protein kinase family protein
Bra000593	Predicted AT-hook DNA-binding family protein
Bra000594	glycosyl hydrolase 9A1
Bra000595	No annotation found
Bra000596	chloride channel C
Bra000597	No annotation found
Bra000598	Beta-glucosidase, GBA2 type family protein
Bra000599	Octicosapeptide/Phox/Bem1p family protein
Bra000600	zinc knuckle (CCHC-type) family protein
Bra000601	NIFU-like protein 2
Bra000602	Protein of unknown function (DUF1682)
Bra000603	pyridoxin (pyrodoxamine) 5\'-phosphate oxidase
Bra000604	auxin F-box protein 5
Bra000605	Protein kinase superfamily protein
Bra000606	DHHC-type zinc finger family protein
Bra000607	receptor for activated C kinase 1C
Bra000608	SWAP (Suppressor-of-White-APricot)/surp domain-containing protein
Bra000609	No annotation found
Bra000610	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra000611	Transducin/WD40 repeat-like superfamily protein
Bra000612	Protein kinase superfamily protein
Bra000613	nitrate transmembrane transporters
Bra000614	protein-l-isoaspartate methyltransferase 2
Bra000615	Cysteine proteinases superfamily protein
Bra000616	Pentatricopeptide repeat (PPR) superfamily protein
Bra000617	Galactose oxidase/kelch repeat superfamily protein
Bra000618	receptor like protein 19
Bra000619	radical SAM domain-containing protein / GCN5-related N-acetyltransferase (GNAT) family protein
Bra000620	ATP-dependent peptidases;nucleotide binding;serine-type endopeptidases;DNA helicases;ATP binding;damaged DNA binding;nucleoside-triphosphatases
Bra000621	No annotation found
Bra000622	Zn-dependent exopeptidases superfamily protein
Bra000623	Adenylate kinase family protein
Bra000624	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra000625	cyclopropyl isomerase
Bra000626	hydroxysteroid dehydrogenase 1
Bra000627	secE/sec61-gamma protein transport protein
Bra000628	reversibly glycosylated polypeptide 4
Bra000629	SAUR-like auxin-responsive protein family 
Bra000630	methyl esterase 4
Bra000631	methyl esterase 4
Bra000632	Mannose-P-dolichol utilization defect 1 protein
Bra000633	F-box family protein
Bra000634	Transducin family protein / WD-40 repeat family protein
Bra000635	Cellulose-synthase-like C12
Bra000636	Chaperone DnaJ-domain superfamily protein
Bra000637	1-aminocyclopropane-1-carboxylate synthase 11
Bra000638	KNOTTED-like from Arabidopsis thaliana
Bra000639	OSBP(oxysterol binding protein)-related protein 1C
Bra000640	TRAF-like family protein
Bra000641	global transcription factor group A2
Bra000642	No annotation found
Bra000643	glycine-rich protein
